"","antigen_iso","iter","y0","y1","t1","alpha","r"
"1","HlyE_IgA",1,2.48226388343294,63.4814181747235,9.51957304896703,0.000580750108201723,1.74503804112011
"2","HlyE_IgG",1,3.03648318890308,163.892554798255,6.54931196095086,0.00457307241085562,1.17416885836092
"3","LPS_IgA",1,0.74820670170836,103.121922704776,4.97771026919162,0.00307838552383614,1.5839254257157
"4","LPS_IgG",1,0.940505201206091,319.669118918033,6.13806778723379,0.00166411804266103,1.41178578671645
"5","Vi_IgG",1,8.46279925419864,4347.98704374261,3.07151215818257,3.40357198840886e-05,1.05743565507201
"6","HlyE_IgA",2,3.85638416639419,288.162064918977,1.26542116053657,0.000459482362967931,2.66300631906146
"7","HlyE_IgG",2,1.81735836697042,153.628916105779,10.7867658664635,0.000920576917699969,1.297476514491
"8","LPS_IgA",2,1.75926480966718,851.906880564364,2.49326974587061,0.000126240719679465,2.9078386414896
"9","LPS_IgG",2,0.433893138436815,20.5904572962772,4.29147286846687,0.00121652116210262,1.36992758822392
"10","Vi_IgG",2,18.8354362021036,345.077619790449,3.48079250784944,0.000142190905263478,1.02415364448301
"11","HlyE_IgA",3,2.00640788224523,431.819308863086,5.46486817689014,0.000277272439231206,1.61055432802302
"12","HlyE_IgG",3,4.93740554540647,143.455366610532,8.58691901045692,0.00293646148218711,1.13118326027234
"13","LPS_IgA",3,1.56080076428217,154.712664108972,2.99669495588665,0.000618879483321687,2.38064254068663
"14","LPS_IgG",3,5.68857626624421,109.978004744727,1.09117063826861,0.000102101820744467,2.67517895772025
"15","Vi_IgG",3,27.7390176084391,1599.76421227139,2.79969364865311,0.000158269702867201,1.03127675841216
"16","HlyE_IgA",4,2.29368570061867,30.5523468510691,6.85192750305877,0.00126803096870046,1.87013752944932
"17","HlyE_IgG",4,1.37339393342482,53.3082414171847,11.0627100751742,0.000185056384174521,2.12891387733085
"18","LPS_IgA",4,1.43716582916934,337.981536587238,2.02999636010426,8.44129273869139e-05,2.17231567247134
"19","LPS_IgG",4,0.618952342732856,100.89732047048,5.61409275561283,0.00432756608538453,1.4984654499531
"20","Vi_IgG",4,1.432005629864,510.142967302696,13.1698483383774,1.43093126270149e-05,1.84891008943868
"21","HlyE_IgA",5,0.816123163292628,160.248521898273,6.89268014531438,0.00139768218010029,1.3974520424861
"22","HlyE_IgG",5,1.6735431071217,557.057672849571,7.36456511021925,0.000505440617097379,1.97493702481855
"23","LPS_IgA",5,0.686835817525648,31.0828047890755,3.21352993122725,0.000376135916439578,1.68503729290826
"24","LPS_IgG",5,0.647737342790646,407.455196425027,2.92829399738093,0.000760085219537279,1.33091954487285
"25","Vi_IgG",5,0.764797642312568,1416.55060950011,22.2927162599919,1.20457338266075e-05,1.52948999992602
"26","HlyE_IgA",6,4.50001171452201,524.750289905931,1.47306608397357,0.0002940737416904,2.26045907519679
"27","HlyE_IgG",6,2.08975116692273,957.183975655821,23.9275376837384,0.000654669519525582,1.73951774586965
"28","LPS_IgA",6,0.654862492827988,39.1707184672128,4.35167139482912,0.000803719685060709,1.44848008591337
"29","LPS_IgG",6,1.19912485112148,163.356935358273,1.95467902818148,0.000501458352436413,1.22989099895048
"30","Vi_IgG",6,6.82921682433581,668.296153529014,3.24754718793823,4.40317320948653e-05,1.07209071661894
"31","HlyE_IgA",7,0.954787286461916,30.7757024960889,17.0360212599026,0.00459319232964828,1.54839140734894
"32","HlyE_IgG",7,3.65695195038105,696.885680249965,4.55037660560404,0.000887688202447749,1.28946525686499
"33","LPS_IgA",7,3.56252655641762,527.923328130637,1.61472877274834,3.04477030546023e-05,3.19588026933467
"34","LPS_IgG",7,8.5232694031609,69.7724211317637,0.683490173266834,0.000123208809960733,2.82054152856664
"35","Vi_IgG",7,8.66238423065357,490.684501765703,1.85229238679121,3.01779208091937e-05,1.06247492517131
"36","HlyE_IgA",8,2.18396711383187,41.3351250925557,3.97108755298104,0.00233809215626583,1.47712107228344
"37","HlyE_IgG",8,1.56705960452669,49.696304772494,7.28684013453311,0.000209870475682425,1.60869619166956
"38","LPS_IgA",8,1.90887869693857,579.923982801649,2.53354118001132,0.000142502644575958,2.37683584419455
"39","LPS_IgG",8,2.20697544224159,92.9534840714989,0.942892594973833,0.000736316871469317,2.46130518689579
"40","Vi_IgG",8,48.2299404803159,293.986143527648,0.56475515259582,3.62344584865751e-05,1.01819988506553
"41","HlyE_IgA",9,96.4398984185507,248.45349985843,0.497351131663378,4.67002985675705e-05,8.49637822070033
